case_id,ref_path,dist_path,distortion_type,distortion_level,parameter,random_seed
image_0001_noise_sigma_5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001/noise_sigma_5.png,gaussian_noise_sigma_5,1,sigma=5,14274969395134406540
image_0001_noise_sigma_15,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001/noise_sigma_15.png,gaussian_noise_sigma_15,2,sigma=15,14274972693669291173
image_0001_noise_sigma_30,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001/noise_sigma_30.png,gaussian_noise_sigma_30,3,sigma=30,14274971594157662962
image_0001_blur_k03_s0p8,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001/blur_k03_s0p8.png,gaussian_blur_k3_sigma_0.800000,1,kernel=3;sigma=0.8,
image_0001_blur_k07_s1p5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001/blur_k07_s1p5.png,gaussian_blur_k7_sigma_1.500000,2,kernel=7;sigma=1.5,
image_0001_blur_k11_s3p0,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001/blur_k11_s3p0.png,gaussian_blur_k11_sigma_3.000000,3,kernel=11;sigma=3,
image_0001_jpeg_quality_80,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001/jpeg_quality_80.jpg,jpeg_quality_80,1,quality=80,
image_0001_jpeg_quality_50,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001/jpeg_quality_50.jpg,jpeg_quality_50,2,quality=50,
image_0001_jpeg_quality_20,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001/jpeg_quality_20.jpg,jpeg_quality_20,3,quality=20,
image_0002_noise_sigma_5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001/noise_sigma_5.png,gaussian_noise_sigma_5,1,sigma=5,9006980043993689794
image_0002_noise_sigma_15,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001/noise_sigma_15.png,gaussian_noise_sigma_15,2,sigma=15,9006978944482061583
image_0002_noise_sigma_30,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001/noise_sigma_30.png,gaussian_noise_sigma_30,3,sigma=30,9006977844970433372
image_0002_blur_k03_s0p8,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001/blur_k03_s0p8.png,gaussian_blur_k3_sigma_0.800000,1,kernel=3;sigma=0.8,
image_0002_blur_k07_s1p5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001/blur_k07_s1p5.png,gaussian_blur_k7_sigma_1.500000,2,kernel=7;sigma=1.5,
image_0002_blur_k11_s3p0,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001/blur_k11_s3p0.png,gaussian_blur_k11_sigma_3.000000,3,kernel=11;sigma=3,
image_0002_jpeg_quality_80,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001/jpeg_quality_80.jpg,jpeg_quality_80,1,quality=80,
image_0002_jpeg_quality_50,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001/jpeg_quality_50.jpg,jpeg_quality_50,2,quality=50,
image_0002_jpeg_quality_20,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001/jpeg_quality_20.jpg,jpeg_quality_20,3,quality=20,
image_0003_noise_sigma_5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001/noise_sigma_5.png,gaussian_noise_sigma_5,1,sigma=5,11570269563607713510
