case_id,reference_path,distorted_path,distortion_type,width,height,channels,mse_standard,psnr_db,ssim,elapsed_ms,status,error
image_0001_noise_sigma_5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001/noise_sigma_5.png,gaussian_noise_sigma_5,2048,2048,3,21.938575,34.718719,0.894397,287.634375,ok,
image_0001_noise_sigma_15,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001/noise_sigma_15.png,gaussian_noise_sigma_15,2048,2048,3,171.348526,25.792000,0.529399,235.015916,ok,
image_0001_noise_sigma_30,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001/noise_sigma_30.png,gaussian_noise_sigma_30,2048,2048,3,619.367393,20.211320,0.239542,242.666375,ok,
image_0001_blur_k03_s0p8,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001/blur_k03_s0p8.png,gaussian_blur_k3_sigma_0.800000,2048,2048,3,7.960142,39.121596,0.984541,189.933167,ok,
image_0001_blur_k07_s1p5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001/blur_k07_s1p5.png,gaussian_blur_k7_sigma_1.500000,2048,2048,3,16.284014,36.013189,0.966732,175.446709,ok,
image_0001_blur_k11_s3p0,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001/blur_k11_s3p0.png,gaussian_blur_k11_sigma_3.000000,2048,2048,3,27.464570,33.743076,0.944708,194.250875,ok,
image_0001_jpeg_quality_80,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001/jpeg_quality_80.jpg,jpeg_quality_80,2048,2048,3,3.050356,43.287298,0.988639,172.852667,ok,
image_0001_jpeg_quality_50,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001/jpeg_quality_50.jpg,jpeg_quality_50,2048,2048,3,9.296819,38.447460,0.973936,149.527583,ok,
image_0001_jpeg_quality_20,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719213000_20260719214459_1000M_V0001/jpeg_quality_20.jpg,jpeg_quality_20,2048,2048,3,18.088888,35.556685,0.934602,156.382333,ok,
image_0002_noise_sigma_5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719214500_20260719215959_1000M_V0001/noise_sigma_5.png,gaussian_noise_sigma_5,2048,2048,3,21.956882,34.715097,0.894271,193.521458,ok,
